date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:29	22314/22314	---M-Z	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:29%20GMT	https://botsbase.net/tag/Game	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/tag/Game	(from https://botsbase.net/)
10:21:30	22314/22314	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:30%20GMT	https://botsbase.net/tag/Game?page=1	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/tag/Game2679.html	(from https://botsbase.net/)
10:21:30	682/682	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:30%20GMT	https://botsbase.net/tags	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/tags	(from https://botsbase.net/)
10:21:30	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2006%20Dec%202020%2008:21:30%20GMT	https://botsbase.net/404	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/404	(from https://botsbase.net/)
10:21:30	12143/12143	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:30%20GMT	https://botsbase.net/bot/764252264214036491	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/764252264214036491.html	(from https://botsbase.net/)
10:21:31	1850/1850	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:31%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/764252264214036491/740a8c9f5011112340cc49f2d6e059b9.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image4574.png	(from https://botsbase.net/)
10:21:31	2178/2178	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:31%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/742549519899557958/55d3945cc59fd0101ad833fd1ad065d9.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imageea4b.png	(from https://botsbase.net/)
10:21:32	10018/10018	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Dec%202020%2008:21:31%20GMT	https://botsbase.net/bot/779439119339749457	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/bot/779439119339749457.html	(from https://botsbase.net/)
10:21:32	2629/2629	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:32%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/779439119339749457/b57f11310d2aa8ce0f031ed3c475c92b.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/imagef419.png	(from https://botsbase.net/)
10:21:33	3023/3023	---M--	200	added ('OK')	image/png	date:Sun,%2006%20Dec%202020%2008:21:32%20GMT	https://botsbase.net/image.php?i=https://cdn.discordapp.com/avatars/768534891154374768/0ae8421970aa6cb699ad8095b7c150d6.jpg	C:/Benim%20Web%20Sitem/botlistsite/botsbase.net/image84eb.png	(from https://botsbase.net/)
